site_id,local_site_name,address,latitude,longitude,date,parameter,units,sample_measurement,aqi
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-11,Ozone,Parts per million,0.035941,37.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-12,Ozone,Parts per million,0.039353,38.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-13,Ozone,Parts per million,0.035176,36.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-14,Ozone,Parts per million,0.028176,29.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-15,Ozone,Parts per million,0.033176,36.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-16,Ozone,Parts per million,0.042412,45.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-17,Ozone,Parts per million,0.053235,77.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-18,Ozone,Parts per million,0.035,43.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-19,Ozone,Parts per million,0.045176,74.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-20,Ozone,Parts per million,0.051647,67.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-21,Ozone,Parts per million,0.055706,105.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-22,Ozone,Parts per million,0.040471,45.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-23,Ozone,Parts per million,0.037706,42.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-24,Ozone,Parts per million,0.033647,38.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-25,Ozone,Parts per million,0.044765,54.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-26,Ozone,Parts per million,0.050176,58.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-27,Ozone,Parts per million,0.038412,44.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-06-28,Ozone,Parts per million,0.025941,33.0
