geoid,tract_name,total_pop,median_hh_income,poverty_count,bachelors_up_count,owner_occupied,nonwhite_count,median_gross_rent
39035183605,Census Tract 1836.05; Cuyahoga County; Ohio,2473,75433,357,1016,556,1045,1095
39035183606,Census Tract 1836.06; Cuyahoga County; Ohio,1798,100625,69,764,500,1092,1334
39035184103,Census Tract 1841.03; Cuyahoga County; Ohio,5172,162969,47,2214,1592,1216,1803
39035184104,Census Tract 1841.04; Cuyahoga County; Ohio,1622,115714,74,686,553,460,1114
39035184105,Census Tract 1841.05; Cuyahoga County; Ohio,4516,126500,210,2207,1218,2358,1778
39035184106,Census Tract 1841.06; Cuyahoga County; Ohio,2343,95776,177,706,792,880,1428
39035184108,Census Tract 1841.08; Cuyahoga County; Ohio,7018,137955,147,3614,2122,2463,1500
39035185101,Census Tract 1851.01; Cuyahoga County; Ohio,3175,87616,133,696,780,2947,1536
39035185102,Census Tract 1851.02; Cuyahoga County; Ohio,2718,77785,112,626,855,1820,1220
39035185103,Census Tract 1851.03; Cuyahoga County; Ohio,2275,74963,155,588,754,1293,1492
39035185104,Census Tract 1851.04; Cuyahoga County; Ohio,3568,90833,226,1460,1393,1230,1530
39035185201,Census Tract 1852.01; Cuyahoga County; Ohio,1967,46172,59,400,478,1609,1075
39035185202,Census Tract 1852.02; Cuyahoga County; Ohio,4240,81211,421,1153,1601,2319,1525
39035185203,Census Tract 1852.03; Cuyahoga County; Ohio,3591,118527,250,1295,1167,1600,2063
39035186103,Census Tract 1861.03; Cuyahoga County; Ohio,5085,96491,283,1860,1867,197,NA
39035186104,Census Tract 1861.04; Cuyahoga County; Ohio,2457,102132,229,928,1079,187,1182
39035186105,Census Tract 1861.05; Cuyahoga County; Ohio,3661,100655,113,1312,1602,343,1863
39035186106,Census Tract 1861.06; Cuyahoga County; Ohio,4851,62908,639,1582,812,1252,1149
39035186107,Census Tract 1861.07; Cuyahoga County; Ohio,6545,106210,222,2038,2494,920,2110
39035186201,Census Tract 1862.01; Cuyahoga County; Ohio,5320,78526,263,1576,1561,1216,1624
39035186202,Census Tract 1862.02; Cuyahoga County; Ohio,4226,134949,295,1758,1484,497,1792
39035186203,Census Tract 1862.03; Cuyahoga County; Ohio,3726,125313,67,1515,1415,563,NA
39035186205,Census Tract 1862.05; Cuyahoga County; Ohio,5714,128735,166,1949,1969,768,1401
39035186206,Census Tract 1862.06; Cuyahoga County; Ohio,4398,135855,133,1829,1393,391,1151
39035187103,Census Tract 1871.03; Cuyahoga County; Ohio,2881,105357,434,1121,827,1646,1543
39035187104,Census Tract 1871.04; Cuyahoga County; Ohio,3064,120141,218,1500,905,851,1720
39035187105,Census Tract 1871.05; Cuyahoga County; Ohio,2923,97188,431,1081,619,426,1111
39035187106,Census Tract 1871.06; Cuyahoga County; Ohio,4526,77014,274,1486,822,1052,1489
39035188103,Census Tract 1881.03; Cuyahoga County; Ohio,2993,59300,309,690,1012,2920,1357
39035188106,Census Tract 1881.06; Cuyahoga County; Ohio,2704,50660,777,496,580,2555,1101
39035188107,Census Tract 1881.07; Cuyahoga County; Ohio,2466,52540,418,502,202,2379,1004
39035189105,Census Tract 1891.05; Cuyahoga County; Ohio,3658,99938,243,1459,1344,494,1722
39035189107,Census Tract 1891.07; Cuyahoga County; Ohio,5069,115000,140,2308,1867,310,1974
39035189108,Census Tract 1891.08; Cuyahoga County; Ohio,4875,145650,271,2260,1662,656,2601
39035189109,Census Tract 1891.09; Cuyahoga County; Ohio,3899,88250,150,1550,1226,558,1244
39035189110,Census Tract 1891.10; Cuyahoga County; Ohio,4821,84497,270,2038,1095,812,1600
39035189111,Census Tract 1891.11; Cuyahoga County; Ohio,7260,117054,441,3488,1841,1518,1507
39035189112,Census Tract 1891.12; Cuyahoga County; Ohio,4522,142083,110,2028,1508,646,1811
39035190502,Census Tract 1905.02; Cuyahoga County; Ohio,2168,53613,140,490,1081,93,1800
39035190503,Census Tract 1905.03; Cuyahoga County; Ohio,1706,106563,53,505,602,87,884
39035190505,Census Tract 1905.05; Cuyahoga County; Ohio,6873,158776,258,2436,1752,1332,1543
